Bandit,"{'Bored': 0.1277689739, 'Sad': 0.0769696425, 'Happy': 0.2447242818, 'Angry': 0.1700255407, 'Excited': 0.2754086772, 'Fear': 0.1051028838}"
Old Town Road,"{'Bored': 0.0, 'Sad': 0.0797328785, 'Happy': 0.4669715728, 'Angry': 0.168170428, 'Excited': 0.17803227, 'Fear': 0.1070928507}"
Only Human,"{'Bored': 0.0, 'Sad': 0.1521868929, 'Happy': 0.4490257463, 'Angry': 0.0933971475, 'Excited': 0.1944238372, 'Fear': 0.1109663761}"
I Don't Care,"{'Bored': 0.0, 'Sad': 0.1090749398, 'Happy': 0.354254811, 'Angry': 0.1581454551, 'Excited': 0.2506860751, 'Fear': 0.127838719}"
Goodbyes,"{'Bored': 0.0082088297, 'Sad': 0.0097409358, 'Happy': 0.4146867649, 'Angry': 0.0383965714, 'Excited': 0.4902597223, 'Fear': 0.0387071759}"
On Chill,"{'Bored': 0.0475618508, 'Sad': 0.2864275397, 'Happy': 0.2395134652, 'Angry': 0.1231885823, 'Excited': 0.1604570102, 'Fear': 0.1428515518}"
Dance Monkey,"{'Bored': 0.0086380806, 'Sad': 0.0511455688, 'Happy': 0.6479371846, 'Angry': 0.024231047, 'Excited': 0.2330407123, 'Fear': 0.0350074066}"
Talk,"{'Bored': 0.0272972872, 'Sad': 0.1913120638, 'Happy': 0.5050089989, 'Angry': 0.0490896981, 'Excited': 0.1483740534, 'Fear': 0.0789178985}"
Sucker,"{'Bored': 0.0, 'Sad': 0.0591467142, 'Happy': 0.4686213357, 'Angry': 0.1211411247, 'Excited': 0.2625923615, 'Fear': 0.0884984639}"
Ballin',"{'Bored': 0.0210476564, 'Sad': 0.0382268758, 'Happy': 0.3607660974, 'Angry': 0.1179796456, 'Excited': 0.3803566263, 'Fear': 0.0816230986}"
How Do You Sleep?,"{'Bored': 0.0554810359, 'Sad': 0.1291304197, 'Happy': 0.5017399022, 'Angry': 0.1052600671, 'Excited': 0.1564204471, 'Fear': 0.0519681279}"
One Man Band,"{'Bored': 0.0, 'Sad': 0.0738486516, 'Happy': 0.5607123986, 'Angry': 0.0775800134, 'Excited': 0.2376595457, 'Fear': 0.0501993906}"
Playing Games,"{'Bored': 0.0434313301, 'Sad': 0.0215405422, 'Happy': 0.5098609277, 'Angry': 0.101955997, 'Excited': 0.2613160742, 'Fear': 0.0618951288}"
Don't Start Now,"{'Bored': 0.0, 'Sad': 0.105813657, 'Happy': 0.3575778492, 'Angry': 0.1691465103, 'Excited': 0.2279310076, 'Fear': 0.139530976}"
Baby,"{'Bored': 0.0557673884, 'Sad': 0.0815222848, 'Happy': 0.3715639507, 'Angry': 0.1164571808, 'Excited': 0.3115329773, 'Fear': 0.0631562181}"
Money In The Grave,"{'Bored': 0.0, 'Sad': 0.0963361076, 'Happy': 0.3865680616, 'Angry': 0.1256560865, 'Excited': 0.2713825311, 'Fear': 0.1200572132}"
Even Though I'm Leaving,"{'Bored': 0.0, 'Sad': 0.092183683, 'Happy': 0.6052664559, 'Angry': 0.0401168779, 'Excited': 0.177090526, 'Fear': 0.0853424572}"
Roxanne,"{'Bored': 0.0352238814, 'Sad': 0.0823341355, 'Happy': 0.2972632455, 'Angry': 0.1775004398, 'Excited': 0.2206430308, 'Fear': 0.187035267}"
223's,"{'Bored': 0.040141105, 'Sad': 0.0319905565, 'Happy': 0.423889643, 'Angry': 0.1677469723, 'Excited': 0.272665392, 'Fear': 0.0635663313}"
Dancing With A Stranger,"{'Bored': 0.0, 'Sad': 0.2375330638, 'Happy': 0.3059326879, 'Angry': 0.0778900242, 'Excited': 0.2092734409, 'Fear': 0.1693707832}"
Follow God,"{'Bored': 0.0311812817, 'Sad': 0.0566550657, 'Happy': 0.4619019609, 'Angry': 0.1308217113, 'Excited': 0.2492700693, 'Fear': 0.0701699111}"
Suge,"{'Bored': 0.0, 'Sad': 0.0574811057, 'Happy': 0.5337767045, 'Angry': 0.1233323443, 'Excited': 0.1861668509, 'Fear': 0.0992429946}"
Heat,"{'Bored': 0.0, 'Sad': 0.0569535987, 'Happy': 0.4419622376, 'Angry': 0.0997815304, 'Excited': 0.3002567725, 'Fear': 0.1010458607}"
One Thing Right,"{'Bored': 0.0326831572, 'Sad': 0.3714762102, 'Happy': 0.2030109661, 'Angry': 0.1730750215, 'Excited': 0.1077232928, 'Fear': 0.1120313522}"
Time,"{'Bored': 0.0, 'Sad': 0.180292376, 'Happy': 0.3277057215, 'Angry': 0.2253835005, 'Excited': 0.1666754444, 'Fear': 0.0999429575}"
Graveyard,"{'Bored': 0.0, 'Sad': 0.2841393141, 'Happy': 0.2477960433, 'Angry': 0.1530543911, 'Excited': 0.1811616592, 'Fear': 0.1338485922}"
Lover,"{'Bored': 0.016949044, 'Sad': 0.037927027, 'Happy': 0.4698274017, 'Angry': 0.0762641803, 'Excited': 0.3409339944, 'Fear': 0.0580983526}"
Hot Girl Summer,"{'Bored': 0.040141105, 'Sad': 0.0319905565, 'Happy': 0.423889643, 'Angry': 0.1677469723, 'Excited': 0.272665392, 'Fear': 0.0635663313}"
Hot Girl Bummer,"{'Bored': 0.0613507733, 'Sad': 0.1356432031, 'Happy': 0.3298138026, 'Angry': 0.26337292, 'Excited': 0.1550239968, 'Fear': 0.0547953042}"
You Need To Calm Down,"{'Bored': 0.0729797262, 'Sad': 0.1409093867, 'Happy': 0.1659538201, 'Angry': 0.2394486715, 'Excited': 0.1235282896, 'Fear': 0.257180106}"
My Type,"{'Bored': 0.0110002681, 'Sad': 0.0211636444, 'Happy': 0.6387344589, 'Angry': 0.0598519468, 'Excited': 0.2093594635, 'Fear': 0.0598902183}"
Camelot,"{'Bored': 0.0, 'Sad': 0.0257136991, 'Happy': 0.6999286236, 'Angry': 0.0801308371, 'Excited': 0.1296072314, 'Fear': 0.0646196087}"
Prayed For You,"{'Bored': 0.0325458469, 'Sad': 0.1661765252, 'Happy': 0.3418763346, 'Angry': 0.1578402704, 'Excited': 0.1790991335, 'Fear': 0.1224618893}"
Every Little Thing,"{'Bored': 0.0085835458, 'Sad': 0.0250722924, 'Happy': 0.6997109944, 'Angry': 0.0477108763, 'Excited': 0.1822564678, 'Fear': 0.0366658234}"
